 Lagrangian strain and Lagrangian stresses (LS) in Voigt notation for Dst01.
 Lag. strain          LS1              LS2              LS3              LS4              LS5              LS6 
-0.0030000000      35.27989126      42.94003510      50.36393638      31.36354502      38.47240748      45.44127535
-0.0024000000      27.64153629      33.78454725      39.76146549      24.66384271      30.37193444      35.98695259
-0.0018000000      20.34609450      24.96031504      29.47334081      18.18706999      22.47887002      26.71315108
-0.0012000000      13.39181036      16.46480375      19.49589943      11.91874181      14.77876156      17.62524873
-0.0006000000       6.75712304       8.29550692       9.82594169       5.85452922       7.29716468       8.71893936
+0.0000100000       0.35003010       0.33002060       0.30001090      -0.11000580      -0.13001235      -0.16001985
+0.0006000000      -5.53130053      -7.07420531      -8.62516205      -5.64902941      -7.09689180      -8.54568818
+0.0012000000     -11.20865909     -14.28949557     -17.41276371     -11.10669662     -13.99743213     -16.91207472
+0.0018000000     -16.57389235     -21.19834847     -25.90605617     -16.35703331     -20.70559779     -25.10308852
+0.0024000000     -21.62874489     -27.80307330     -34.12811087     -21.41390165     -27.22508735     -33.12252492
+0.0030000000     -26.38501027     -34.10593288     -42.06194329     -26.28120393     -33.55963640     -40.97403258
