 Lagrangian strain and physical stresses (PS) in Voigt notation for Dst01.
 Lag. strain         PS1          PS2          PS3          PS4          PS5          PS6 
-0.0030000000       34.300       42.000       49.410       30.200       37.500       44.680
-0.0024000000       27.020       33.190       39.160       23.930       29.760       35.510
-0.0018000000       20.000       24.630       29.140       17.780       22.140       26.450
-0.0012000000       13.240       16.320       19.350       11.740       14.630       17.510
-0.0006000000        6.720        8.260        9.790        5.810        7.260        8.690
+0.0000100000        0.350        0.330        0.300       -0.110       -0.130       -0.160
+0.0006000000       -5.570       -7.110       -8.660       -5.690       -7.130       -8.570
+0.0012000000      -11.360      -14.430      -17.550      -11.270      -14.130      -17.010
+0.0018000000      -16.910      -21.510      -26.210      -16.720      -21.000      -25.320
+0.0024000000      -22.220      -28.350      -34.660      -22.050      -27.740      -33.500
+0.0030000000      -27.300      -34.950      -42.880      -27.260      -34.350      -41.550
